"income","variable","No Change (Baseline)","Non-meat marketing campaign (Scenario 1)","Increase in meat pricing (Scenario 2)","Increase in non-meat options (Scenario 3)","Combined non-meat push (Scenario 4)"
"More than $75k","Poultry_Low",0.0878734068880628,0.084227831282036,0.0847923974737987,0.0798064987914157,0.0769598687211937
"More than $75k","Poultry_High",0.0882647029977973,0.0846047231312465,0.0850527907943466,0.0800385255362121,0.0772686587611048
"More than $75k","Fish",0.0305347706429534,0.0339607524158814,0.0307853822988145,0.0277254364993006,0.030901725474113
"More than $75k","Fish_Low",0.0304579206523396,0.0338667987964728,0.0306839648226318,0.0276396352305526,0.030809794640003
"More than $75k","Fish_High",0.0306116084516247,0.034054687763639,0.0308867785550275,0.0278112226271431,0.0309936388700016
"More than $75k","Vegetables",0.301890187436119,0.298943971465353,0.304238739513257,0.322820050533583,0.319106876358615
"More than $75k","Vegetables_Low",0.3016114141979,0.298730462622307,0.303966755331403,0.322665532889146,0.318987720061482
"More than $75k","Vegetables_High",0.302168738209334,0.299157350337971,0.304510511215317,0.322974497695096,0.319225990965635
"More than $75k","Legumes, Beans, & Nuts",0.0425087948733773,0.0501136041176676,0.0427871433254278,0.0434924624372713,0.050187078397719
"More than $75k","Legumes, Beans, & Nuts_Low",0.0424026488608581,0.0500007386975386,0.0426575454649329,0.0434101577607917,0.0500831524280031
"More than $75k","Legumes, Beans, & Nuts_High",0.0426149173567437,0.0502264427228498,0.0429167061026941,0.0435747529520346,0.0502909816298118
"More than $75k","Eggs & Cheese",0.0572830619865588,0.0641721610778235,0.0576463492451428,0.0721586191602428,0.0778327780194128
"More than $75k","Eggs & Cheese_Low",0.0570733637541006,0.0639806383252043,0.0574399404143334,0.0720019720139242,0.0776603556457093
"More than $75k","Eggs & Cheese_High",0.057492666969829,0.0643636054699678,0.0578526676938547,0.072315213431046,0.0780051359398131
"More than $75k","Grains",0.399830200750488,0.39205315102133,0.402434226953769,0.382028015472609,0.375698002521847
"More than $75k","Grains_Low",0.399668322584614,0.391950235016399,0.402222263129885,0.381935690003759,0.375604758667481
"More than $75k","Grains_High",0.399991991639687,0.392156032193877,0.402646040511979,0.382120313362714,0.375791218531292
